trialNo_old,mRating_abnormal,mRating_immoral,mRating_goodness,mRating_improbable,condition2,trialNo,target,condition1,trialNo
104,2.125,2.5,3.076923077,1.259259259,13,262,  hold a storm cloud in your hands.,impossible,262
105,1.75,2.363636364,3.580645161,1.448275862,13,260,  work sitting at your boss's desk.,flouting,260
106,1.551724138,2.090909091,4.129032258,1.379310345,13,259,  jump on the conference table.,flouting,259
107,2.172413793,3.136363636,3.322580645,1.714285714,13,268,  eat a pizza on the office floor.,flouting,268
108,2.275862069,2.681818182,2.466666667,3.366666667,13,267,  turn on loud music and dance.,flouting,267
109,1.259259259,1.1,4.5,1.275862069,13,269,  build a bonfire in the break room.,immoral,269
110,1.428571429,1.409090909,4.129032258,1.4,13,258,  eat all the lunches in the fridge.,immoral,258
111,1.555555556,1.136363636,4.233333333,1.344827586,13,257,  lie to your boss about your dad dying.,immoral,257
112,1.222222222,1,4.620689655,1.166666667,13,265,  intentionally short-circuit all computers.,immoral,265
113,4.586206897,4.909090909,2.161290323,4.333333333,14,231, check the time on your phone.,ordinary,231
114,4.413793103,4.681818182,2.4,3.689655172,14,233, push one of the floor buttons.,ordinary,233
115,4.142857143,4.863636364,2.166666667,3.966666667,14,232, comment on the weather today.,ordinary,232
116,4.103448276,4.681818182,2.733333333,3.9,14,239, cross and uncross your arms.,ordinary,239
117,1.7,1,4.357142857,1.321428571,14,228, give birth to a baby elephant.,impossible,228
118,1.6,1.6,1.833333333,2.333333333,14,234, run part of a half marathon.,impossible,234
119,2.142857143,2.333333333,2.275862069,1.266666667,14,227, climb up Mount Everest.,impossible,227
120,2,3.5,2.038461538,1.633333333,14,226, take a picture of the planet Mars.,impossible,226
121,1.448275862,2.272727273,3.2,2.133333333,14,240, hold the hand of a stranger.,flouting,240
122,1.793103448,2.954545455,2.733333333,1.533333333,14,236, serenade the other passengers.,flouting,236
123,1.428571429,1.909090909,3.903225806,1.285714286,14,225, press all of the floor buttons.,flouting,225
124,1.689655172,3.090909091,3.714285714,1.24137931,14,235, press your nose to the back wall.,flouting,235
125,1.206896552,1.181818182,4.225806452,1.366666667,14,237, empty out someone's purse.,immoral,237
126,1.24137931,1.142857143,4.580645161,1.266666667,14,229, shatter the overhead light.,immoral,229
127,1.25,1,4.709677419,1.333333333,14,230, hold the other passengers hostage.,immoral,230
128,1.178571429,1.045454545,4.64516129,1.3,14,238, trip an old man as he exits.,immoral,238
